angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.26,"[776, 264, 296, 372]",0.0,0.2,0.0,0.26,0.22,0.06
0.26,"[776, 264, 296, 371]",0.0,0.18,0.0,0.27,0.22,0.07
0.26,"[776, 264, 296, 371]",0.0,0.18,0.0,0.27,0.22,0.07
0.34,"[778, 265, 293, 370]",0.0,0.2,0.0,0.2,0.21,0.04
0.31,"[779, 266, 292, 369]",0.0,0.21,0.0,0.21,0.22,0.04
0.22,"[781, 267, 288, 365]",0.0,0.19,0.0,0.36,0.2,0.03
0.22,"[781, 267, 288, 365]",0.0,0.19,0.0,0.36,0.2,0.04
0.22,"[781, 267, 288, 365]",0.0,0.19,0.0,0.36,0.2,0.04
0.07,"[779, 270, 289, 364]",0.0,0.22,0.0,0.25,0.46,0.0
0.07,"[779, 270, 289, 364]",0.0,0.22,0.0,0.26,0.45,0.0
0.21,"[775, 267, 294, 368]",0.0,0.17,0.0,0.3,0.33,0.0
0.21,"[775, 267, 294, 368]",0.0,0.17,0.0,0.29,0.33,0.0
0.21,"[775, 267, 294, 368]",0.0,0.17,0.0,0.29,0.33,0.0
0.26,"[775, 266, 296, 370]",0.0,0.21,0.0,0.25,0.26,0.02
0.25,"[777, 267, 293, 368]",0.0,0.24,0.0,0.24,0.26,0.02
0.2,"[777, 265, 294, 369]",0.0,0.22,0.0,0.32,0.24,0.03
0.2,"[777, 265, 294, 369]",0.0,0.22,0.0,0.31,0.24,0.03
0.2,"[777, 265, 294, 369]",0.0,0.22,0.0,0.31,0.24,0.02
0.23,"[782, 263, 287, 372]",0.0,0.25,0.0,0.27,0.21,0.03
0.23,"[782, 263, 287, 372]",0.0,0.25,0.0,0.27,0.21,0.03
0.19,"[777, 266, 292, 368]",0.0,0.24,0.0,0.29,0.24,0.04
0.19,"[777, 265, 293, 369]",0.0,0.25,0.0,0.28,0.24,0.03
0.19,"[777, 265, 293, 369]",0.0,0.25,0.0,0.28,0.24,0.03
0.21,"[779, 263, 288, 374]",0.0,0.23,0.0,0.31,0.19,0.06
0.21,"[779, 263, 288, 374]",0.0,0.23,0.0,0.31,0.19,0.06
0.2,"[782, 267, 284, 368]",0.0,0.25,0.0,0.26,0.21,0.07
0.19,"[782, 266, 284, 369]",0.0,0.23,0.0,0.29,0.22,0.06
0.19,"[782, 266, 284, 369]",0.0,0.23,0.0,0.29,0.22,0.06
0.18,"[779, 265, 285, 370]",0.0,0.28,0.0,0.29,0.17,0.08
0.19,"[779, 265, 284, 370]",0.0,0.27,0.0,0.26,0.19,0.08
0.19,"[770, 262, 295, 371]",0.0,0.19,0.0,0.4,0.16,0.06
0.2,"[771, 264, 293, 369]",0.0,0.24,0.0,0.33,0.15,0.08
0.2,"[771, 264, 293, 369]",0.0,0.24,0.0,0.33,0.15,0.08
0.19,"[775, 250, 286, 391]",0.0,0.21,0.0,0.31,0.16,0.13
